,post_id,time,reaction_count,shares,comments,thích,yêu thích,haha,wow,thương thương,buồn,phẫn nộ
0,734858865344880,2023-11-22 04:00:03,32,0,4,24.0,8.0,0.0,0.0,0.0,0.0,0.0
1,734277628736337,2023-11-21 12:00:05,274,4,13,208.0,36.0,24.0,2.0,4.0,0.0,0.0
2,734231668740933,2023-11-20 14:42:23,577,25,335,426.0,11.0,133.0,1.0,2.0,3.0,1.0
3,733519365478830,2023-11-19 13:00:41,2680,2,5,2599.0,75.0,1.0,4.0,0.0,1.0,0.0
4,732762162221217,2023-11-18 03:38:53,72,0,3,47.0,16.0,0.0,4.0,5.0,0.0,0.0
5,731501415680625,2023-11-15 23:29:14,660,14,65,535.0,110.0,0.0,8.0,7.0,0.0,0.0
6,730297869134313,2023-11-15 12:00:01,962,42,37,580.0,223.0,143.0,1.0,12.0,3.0,0.0
7,730310522466381,2023-11-14 12:00:02,640,2,18,492.0,22.0,117.0,3.0,3.0,3.0,0.0
8,730293662468067,2023-11-14 07:00:01,46,1,7,25.0,12.0,2.0,6.0,1.0,0.0,0.0
9,729527235878043,2023-11-13 12:00:01,596,5,10,507.0,84.0,0.0,3.0,2.0,0.0,0.0
10,729536905877076,2023-11-12 12:00:02,109,3,6,72.0,31.0,0.0,3.0,3.0,0.0,0.0
11,728900062607427,2023-11-11 05:46:54,704,33,55,288.0,5.0,404.0,1.0,1.0,5.0,0.0
12,727938399370260,2023-11-09 13:01:55,997,0,5,830.0,158.0,1.0,4.0,4.0,0.0,0.0
13,727933632704070,2023-11-09 12:00:26,290,8,71,182.0,4.0,99.0,2.0,1.0,2.0,0.0
14,727591449404955,2023-11-09 04:00:04,1742,8,10,1439.0,220.0,0.0,80.0,2.0,1.0,0.0
15,725140016316765,2023-11-06 12:00:00,419,5,15,210.0,2.0,198.0,5.0,2.0,2.0,0.0
16,725184562978977,2023-11-05 03:00:04,597,6,22,382.0,11.0,194.0,1.0,0.0,9.0,0.0
17,725274782969955,2023-11-04 13:55:28,130,1,4,96.0,34.0,0.0,0.0,0.0,0.0,0.0
18,725143652983068,2023-11-04 08:17:25,2117,36,86,1913.0,174.0,10.0,11.0,8.0,0.0,1.0
19,724127373084696,2023-11-02 13:00:15,562,5,11,403.0,146.0,3.0,3.0,7.0,0.0,0.0
20,724071589756941,2023-11-02 11:55:32,181,4,17,103.0,15.0,61.0,1.0,0.0,1.0,0.0
21,722668543230579,2023-10-31 05:03:03,1428,6,21,1115.0,295.0,9.0,6.0,2.0,1.0,0.0
22,722657213231712,2023-10-31 04:03:01,1396,6,16,1096.0,284.0,1.0,10.0,5.0,0.0,0.0
23,721270010037099,2023-10-28 13:00:03,3338,48,211,2609.0,108.0,15.0,4.0,10.0,591.0,1.0
24,721238053373628,2023-10-28 08:29:58,596,11,50,361.0,13.0,210.0,5.0,2.0,5.0,0.0
25,720385350125565,2023-10-26 18:00:12,989,21,115,741.0,188.0,6.0,36.0,10.0,8.0,0.0
26,720163543481079,2023-10-26 12:00:02,1530,14,38,1146.0,368.0,2.0,9.0,4.0,1.0,0.0
27,719758466854920,2023-10-26 04:00:05,110,0,7,76.0,30.0,0.0,2.0,2.0,0.0,0.0
28,719428353554598,2023-10-25 03:45:13,166,5,26,67.0,2.0,93.0,1.0,0.0,3.0,0.0
29,717183097112457,2023-10-23 12:00:01,369,7,86,176.0,1.0,186.0,0.0,0.0,6.0,0.0
30,718188250345275,2023-10-23 03:27:51,480,3,10,355.0,114.0,0.0,5.0,6.0,0.0,0.0
31,717136717117095,2023-10-21 08:34:22,491,6,23,256.0,8.0,221.0,2.0,2.0,2.0,0.0
32,715883817242385,2023-10-19 06:00:27,1884,10,84,1463.0,379.0,4.0,33.0,3.0,2.0,0.0
33,715812747249492,2023-10-19 03:00:04,131,0,9,105.0,11.0,12.0,2.0,1.0,0.0,0.0
34,710394324458001,2023-10-18 13:00:03,988,20,62,808.0,162.0,3.0,11.0,1.0,3.0,0.0
35,714839704013463,2023-10-17 14:14:36,638,5,421,508.0,43.0,54.0,28.0,2.0,2.0,1.0
36,714265590737541,2023-10-16 14:11:38,460,16,49,253.0,10.0,187.0,1.0,4.0,5.0,0.0
37,712133440950756,2023-10-13 05:51:51,2419,15,98,2155.0,251.0,6.0,3.0,4.0,0.0,0.0
38,711497414347692,2023-10-12 06:12:18,3108,61,71,2076.0,975.0,3.0,7.0,39.0,8.0,0.0
39,710428131121287,2023-10-10 12:15:35,2417,56,140,1694.0,671.0,17.0,13.0,22.0,0.0,0.0
40,709802411183859,2023-10-09 12:00:01,682,2,7,561.0,119.0,0.0,0.0,2.0,0.0,0.0
41,708505444646889,2023-10-07 08:02:06,811,10,129,582.0,131.0,70.0,4.0,8.0,16.0,0.0
42,708018721362228,2023-10-06 12:00:02,378,4,33,130.0,4.0,233.0,3.0,1.0,7.0,0.0
43,707968208033946,2023-10-06 09:05:22,248,4,13,180.0,59.0,5.0,0.0,3.0,1.0,0.0
44,707938714703562,2023-10-06 07:51:43,37629,414,2190,28091.0,5803.0,2982.0,339.0,303.0,110.0,1.0
45,707563098074457,2023-10-05 13:59:37,5275,258,591,2757.0,182.0,26.0,2293.0,14.0,3.0,0.0
46,707460941418006,2023-10-05 12:00:46,474,24,24,152.0,2.0,316.0,0.0,0.0,4.0,0.0
47,706915298139237,2023-10-04 12:00:39,852,13,54,351.0,4.0,488.0,3.0,1.0,5.0,0.0
48,706865204810913,2023-10-04 07:13:32,471,9,8,225.0,12.0,229.0,1.0,3.0,1.0,0.0
49,706456304851803,2023-10-03 13:00:01,1112,206,784,809.0,29.0,11.0,256.0,3.0,4.0,0.0
50,706426588188108,2023-10-03 12:00:02,400,8,11,278.0,114.0,0.0,1.0,6.0,1.0,0.0
51,705819278248839,2023-10-02 13:30:01,5754,163,757,5308.0,33.0,404.0,4.0,3.0,2.0,0.0
52,705749651589135,2023-10-02 12:00:00,201,2,1,152.0,44.0,1.0,2.0,2.0,0.0,0.0
53,704624288368338,2023-09-30 10:30:00,106,9,13,45.0,1.0,45.0,0.0,0.0,15.0,0.0
54,704116041752496,2023-09-29 13:00:02,2728,1,752,2464.0,256.0,2.0,5.0,1.0,0.0,0.0
55,703608218469945,2023-09-28 15:56:18,2001,24,35,1106.0,57.0,4.0,7.0,9.0,817.0,1.0
56,702125631951537,2023-09-26 12:00:05,197,8,1,145.0,47.0,0.0,2.0,3.0,0.0,0.0
57,702078751956225,2023-09-26 08:15:55,1256,93,303,943.0,272.0,15.0,12.0,4.0,9.0,1.0
58,700832668747500,2023-09-24 12:00:06,2410,40,739,1933.0,74.0,52.0,346.0,2.0,3.0,0.0
59,699682828862484,2023-09-22 12:00:01,169,4,9,62.0,2.0,104.0,0.0,0.0,1.0,0.0
60,699546618876105,2023-09-22 03:28:12,30029,866,5243,21157.0,4536.0,574.0,3421.0,213.0,119.0,9.0
61,699157888914978,2023-09-21 12:00:01,621,25,20,345.0,196.0,65.0,5.0,10.0,0.0,0.0
62,699092555588178,2023-09-21 07:58:39,572,11,30,371.0,0.0,2.0,2.0,0.0,189.0,8.0
63,698431148987652,2023-09-20 03:58:52,344,4,20,242.0,37.0,59.0,3.0,1.0,2.0,0.0
64,697988745698559,2023-09-19 12:30:01,101,0,18,71.0,24.0,0.0,4.0,2.0,0.0,0.0
65,697951315702302,2023-09-19 10:19:31,3096,83,153,1447.0,52.0,1507.0,11.0,5.0,74.0,0.0
66,697885459042221,2023-09-19 07:36:48,12035,614,971,4466.0,178.0,6001.0,57.0,28.0,1301.0,4.0
67,697366649094102,2023-09-18 12:05:00,88,17,34,42.0,42.0,0.0,2.0,2.0,0.0,0.0
68,696035379227229,2023-09-16 10:03:47,14047,183,1529,8363.0,164.0,4306.0,58.0,27.0,1122.0,7.0
69,695433395954094,2023-09-15 12:00:01,234,3,32,31.0,133.0,54.0,16.0,0.0,0.0,0.0
70,694824042681696,2023-09-14 12:00:02,199,1,20,80.0,0.0,115.0,2.0,0.0,2.0,0.0
71,694222416075192,2023-09-13 13:05:00,209,7,12,105.0,2.0,76.0,1.0,0.0,25.0,0.0
72,694188156078618,2023-09-13 08:49:46,4703,351,741,2230.0,424.0,1783.0,129.0,38.0,97.0,2.0
73,693589896138444,2023-09-12 07:30:58,22293,172,812,18076.0,2024.0,710.0,1391.0,82.0,9.0,1.0
74,693038262860274,2023-09-11 08:49:44,5447,56,207,4350.0,55.0,958.0,23.0,6.0,55.0,0.0
75,691131279717639,2023-09-08 08:25:08,2501,37,49,1541.0,888.0,1.0,0.0,53.0,18.0,0.0
76,690617279769039,2023-09-07 13:10:02,336,5,8,210.0,116.0,0.0,1.0,8.0,1.0,0.0
77,690635616433872,2023-09-07 12:00:01,628,11,50,359.0,164.0,1.0,73.0,1.0,30.0,0.0
78,690130156484418,2023-09-06 13:05:03,503,31,254,318.0,6.0,149.0,1.0,1.0,28.0,0.0
79,690110093153091,2023-09-06 12:00:07,425,38,33,236.0,172.0,1.0,3.0,13.0,0.0,0.0
80,689626436534790,2023-09-05 12:00:02,323,7,14,141.0,5.0,173.0,2.0,1.0,1.0,0.0
81,689540419876725,2023-09-05 08:03:25,2650,90,503,1022.0,33.0,1342.0,34.0,3.0,211.0,5.0
82,689532036544230,2023-09-05 07:44:38,238,5,6,163.0,68.0,2.0,4.0,0.0,1.0,0.0
83,689101023253998,2023-09-04 12:00:01,807,5,6,625.0,92.0,85.0,0.0,1.0,4.0,0.0
84,689082493255851,2023-09-04 09:51:53,644,0,1,530.0,108.0,1.0,5.0,0.0,0.0,0.0
85,687475086749925,2023-09-01 13:21:55,6453,63,250,6432.0,20.0,0.0,0.0,1.0,0.0,0.0
86,686388230191944,2023-08-30 13:00:02,119,0,5,61.0,3.0,49.0,2.0,0.0,4.0,0.0
87,686300906867343,2023-08-30 12:00:03,367,2,31,205.0,114.0,12.0,35.0,1.0,0.0,0.0
88,685724406924993,2023-08-29 13:00:01,151,2,4,105.0,27.0,0.0,2.0,11.0,6.0,0.0
89,685703266927107,2023-08-29 12:00:01,103,1,3,31.0,0.0,70.0,0.0,0.0,2.0,0.0
90,685263900304377,2023-08-28 12:00:01,152,4,14,84.0,4.0,57.0,0.0,4.0,3.0,0.0
91,683534070477360,2023-08-25 07:49:46,220,5,12,167.0,38.0,9.0,2.0,4.0,0.0,0.0
92,683050150525752,2023-08-24 13:00:05,298,2,27,220.0,45.0,0.0,31.0,2.0,0.0,0.0
93,683034673860633,2023-08-24 12:00:01,112,3,4,78.0,30.0,1.0,0.0,3.0,0.0,0.0
94,683002007197233,2023-08-24 07:10:48,621,4,6,546.0,74.0,0.0,0.0,0.0,1.0,0.0
95,682602737237160,2023-08-23 12:00:01,1066,12,8,833.0,218.0,2.0,1.0,11.0,1.0,0.0
96,682061850624582,2023-08-22 12:00:01,603,2,10,517.0,82.0,2.0,2.0,0.0,0.0,0.0
97,682049893959111,2023-08-22 07:45:06,115,1,7,84.0,17.0,1.0,11.0,2.0,0.0,0.0
98,681598084004292,2023-08-21 12:00:01,189,3,24,79.0,0.0,109.0,0.0,0.0,1.0,0.0
99,681598487337585,2023-08-21 09:14:17,461,2,15,395.0,5.0,49.0,4.0,0.0,8.0,0.0
100,680412097456224,2023-08-20 04:11:35,142,1,13,53.0,0.0,84.0,0.0,0.0,5.0,0.0
101,680420167455417,2023-08-19 07:44:15,2707,109,151,1803.0,66.0,796.0,7.0,8.0,27.0,0.0
102,679982834165817,2023-08-18 13:10:00,120,3,5,79.0,32.0,3.0,3.0,3.0,0.0,0.0
103,679934204170680,2023-08-18 12:00:01,472,3,57,266.0,97.0,43.0,58.0,8.0,0.0,0.0
104,679912140839553,2023-08-18 08:00:01,784,1,5,681.0,95.0,2.0,4.0,2.0,0.0,0.0
105,679362200894547,2023-08-17 04:55:09,354,6,86,218.0,4.0,125.0,2.0,3.0,2.0,0.0
106,678968874267213,2023-08-16 12:30:03,508,11,18,225.0,2.0,277.0,0.0,0.0,4.0,0.0
107,676766991154068,2023-08-12 10:12:22,2007,21,30,1393.0,584.0,1.0,0.0,25.0,4.0,0.0
108,675636914600409,2023-08-10 12:00:28,3538,12,11,3048.0,438.0,7.0,18.0,25.0,2.0,0.0
109,675637971266970,2023-08-10 09:10:29,369,13,43,229.0,88.0,45.0,2.0,3.0,2.0,0.0
110,672236311607136,2023-08-04 08:50:15,197,0,8,148.0,46.0,0.0,1.0,2.0,0.0,0.0
